Year,Month,Day,Lat,Lon,Depth,Bottom_temp,Bottom_sal,Bottom_DO,Surface_temp,Surface_sal,Surface_DO,pH,Data_source
1996,7,9,29.170167,-83.014,0.2,26.7,22.9,4.3,NA,NA,NA,7.7,FWC
1996,7,9,29.171667,-83.038333,0.3,27.5,22.7,4.8,NA,NA,NA,7.9,FWC
1996,7,9,29.163833,-83.001,0.3,27.2,25.6,5,NA,NA,NA,7.8,FWC
1996,7,9,29.151667,-83.03,0.3,26.9,24.1,4.4,NA,NA,NA,7.8,FWC
1996,7,10,29.101833,-83.062167,0.1,31.5,26.3,8.1,NA,NA,NA,8.3,FWC
1996,7,10,29.131333,-83.054667,0.1,33,24.8,9.4,NA,NA,NA,8.3,FWC
1996,7,10,29.190167,-83.085833,0.2,29.1,10.5,8.4,NA,NA,NA,8.4,FWC
1996,7,10,29.183833,-83.0395,0.3,26.9,14.9,4.8,NA,NA,NA,7.8,FWC
1996,7,10,29.102167,-83.0745,0.3,28.8,29.4,7.8,NA,NA,NA,8.2,FWC
1996,7,10,29.186833,-83.0655,0.6,27.4,16,6.6,NA,NA,NA,8.1,FWC
1996,7,11,29.1435,-82.974167,0.2,28.4,26.5,6.6,NA,NA,NA,8.2,FWC
1996,7,11,29.101167,-82.964667,0.2,28.7,26.8,5.9,NA,NA,NA,8.2,FWC
1996,7,11,29.0975,-82.9535,0.2,29.2,22,6.9,NA,NA,NA,8.2,FWC
1996,7,11,29.034333,-83.076,0.2,29.3,31.2,6.1,NA,NA,NA,8.2,FWC
1996,7,11,29.040833,-83.073167,0.2,29.5,29.9,6.9,NA,NA,NA,8.2,FWC
1996,7,11,29.073167,-83.067833,0.2,29.7,29,7,NA,NA,NA,8.3,FWC
1996,7,11,29.1435,-82.974167,2.7,28.3,26.6,6.5,NA,NA,NA,8.2,FWC
1996,7,11,29.073167,-83.067833,3,29.7,29,6.9,NA,NA,NA,8.3,FWC
1996,7,11,29.101167,-82.964667,3.1,28.6,28.8,5.7,NA,NA,NA,8.2,FWC
1996,7,11,29.0975,-82.9535,3.4,28.6,28.3,6,NA,NA,NA,8.2,FWC
