Reference,Depth,Beg_end,Temperature,Conductivity,pH,Salinity,DissolvedO2,Flag
CKM2003050102,0.2,B,22.6,0.3,7.2,0.1,4.9,
CKM2003050103,0.2,B,23.5,1.2,7.3,0.6,6.3,
CKM2003050104,0.2,B,24.9,22.5,7.3,13.4,5.4,
CKM2003050105,0.2,B,25.4,20.7,7.3,12.4,5.9,
CKM2003050105,1,B,25,22.3,7.4,13.4,5.8,
CKM2003050106,0.2,B,27.1,19,7.4,11.3,6.6,
CKM2003050106,1,B,26.3,21.3,7.5,12.7,6.6,
CKM2003050106,1.1,B,25.4,23.4,7.5,14.1,6.5,
CKM2003050107,0.2,B,26.6,7.5,7.3,4.4,5.7,
CKM2003050107,1,B,24.3,29.2,7.3,18.1,5.4,
CKM2003050107,1.2,B,24.2,30.8,7.4,19.1,5.5,
CKM2003050108,0.2,B,25,6.7,7.3,3.7,5.8,
CKM2003050108,0.9,B,24.2,26.7,7.3,16.3,5.4,
CKM2003050201,0.2,B,26,37.7,7.9,23.9,6.5,
CKM2003050202,0.2,B,25.2,38.7,7.8,24.6,8.5,
CKM2003050203,0.2,B,26,36.6,7.7,23.1,6.3,
CKM2003050204,0.2,B,26.1,39.1,7.8,24.3,7.2,
CKM2003050205,0.2,B,26.2,42.2,7.8,27.1,7.4,
CKM2003050205,0.8,B,26.1,42.2,7.9,27.1,7.1,
CKM2003050206,0.2,B,27.6,42.3,8,27.1,9.6,
CKM2003050206,0.5,B,27.5,42.4,8,27.1,9.4,
CKM2003050301,0.2,B,26.7,41.5,7.7,26.6,6.3,
CKM2003050302,0.2,B,26.8,45.8,8,29.6,8.3,
CKM2003050303,0.2,B,26.4,44.7,7.8,28.2,6.3,
CKM2003050303,1,B,26,44.9,7.8,28.2,6,
CKM2003050303,1.6,B,26,44.5,7.8,28.1,5.8,
CKM2003050304,0.2,B,26.6,46.5,7.9,30.2,7.3,
CKM2003050305,0.2,B,27.2,46.5,8,30.1,8.1,
CKM2003050305,0.6,B,27.3,46.5,8,30.1,8,
CKM2003050306,0.2,B,28.4,46.7,8,28.3,9.5,
CKM2003050306,0.8,B,28.3,47.3,8,29.1,9,
CKM2003050307,0.2,B,29.2,47.8,8,28.5,8.9,
CKM2003050307,10,B,28.7,47.8,8,28.4,8.9,
CKM2003050401,0.2,B,26.9,42.3,7.7,27.4,6.9,
CKM2003050402,0.2,B,27,42.5,7.8,27.3,8.3,
CKM2003050402,0.6,B,27,42.5,7.8,27.3,7.5,
CKM2003050403,0.2,B,27.6,44.9,7.9,29,7.6,
CKM2003050404,0.2,B,27.6,35.4,7.8,22.2,9.7,
CKM2003050404,0.5,B,27.6,35.4,7.8,22.2,8.2,
CKM2003050405,0.2,B,28.8,31.4,7.8,19.5,8.2,
CKM2003050406,0.2,B,28.2,34.1,7.9,21.3,8.5,
CKM2003050406,0.8,B,28.2,34.2,7.9,21.4,8.7,
CKM2003050407,0.2,B,28.3,35.5,8,22.3,8.9,
CKM2003050407,0.5,B,28.3,35.5,8,22.3,8.9,
CKM2003050501,0.2,B,26.9,43.4,7.8,27.9,6.6,
CKM2003050501,1,B,26.9,43.4,7.8,27.9,6.6,
CKM2003050501,1.9,B,26.9,43.4,7.8,27.9,6.6,
CKM2003050502,0.2,B,26.8,30.4,7.9,18.9,7.6,
CKM2003050502,0.6,B,26.8,32.6,7.9,20.3,7.5,
CKM2003050503,0.2,B,27.5,12.3,7.8,7.1,8.2,
CKM2003050503,0.7,B,27.4,13.7,7.8,7.9,8.1,
CKM2003050504,0.2,B,24.5,0.3,7.3,0.1,5.9,
CKM2003050504,1,B,24.5,0.3,7.3,0.1,5.9,
CKM2003050504,2,B,24.4,0.3,7.3,0.1,5.9,
CKM2003050505,0.2,B,25.2,0.3,7.4,0.2,7.2,
CKM2003050505,1,B,25.2,0.3,7.4,0.2,7.3,
CKM2003050505,2,B,25.1,0.3,7.5,0.2,7.4,
CKM2003050505,2.3,B,24.8,0.4,7.5,0.2,4,
CKM2003050506,0.2,B,28.2,19.9,7.9,11.1,8.9,
CKM2003050506,0.6,B,28.1,20.2,7.9,11.9,8.9,
CKM2003050507,0.2,B,28.5,20.3,7.9,12,9.2,
CKM2003050507,0.6,B,28.4,20.5,7.9,12.2,9.1,
CKM2003050508,0.2,B,28.6,16.1,7.7,9.4,6.6,
CKM2003050509,0.2,B,29.3,24.1,7.9,14.5,8.2,
CKM2003050601,0.2,B,27.6,1.4,7.4,0.7,5,
CKM2003050602,0.2,B,26.2,0.6,7.6,0.3,5.8,
CKM2003050603,0.2,B,24.9,0.3,7.4,0.1,5.4,
CKM2003050604,0.2,B,24.7,0.3,7.4,0.1,5.4,
CKM2003050604,1,B,24.7,0.3,7.2,0.1,5.3,
CKM2003050604,2,B,24.7,0.3,7,0.1,5.2,
CKM2003050604,2.7,B,24.7,0.3,7,0.1,5.2,
CKM2003050605,0.2,B,25.1,0.3,7.5,0.1,6,
CKM2003050605,1,B,24.7,0.3,7.3,0.1,5.4,
CKM2003050605,2,B,24.7,0.3,7.2,0.1,5.3,
CKM2003050605,3,B,24.7,0.3,7.2,0.1,5.2,
CKM2003050606,0.2,B,27.8,7.3,7.7,4,7.8,
CKM2003050606,1,B,27.8,35,7.9,22,7.1,
CKM2003050606,2,B,28,40,7.8,25.4,6.2,
CKM2003050606,2.6,B,28.1,40,7.8,25.4,5.4,
CKM2003050607,0.2,B,28.5,15,7.9,7.7,8.8,
CKM2003050607,1,B,27.9,22.9,7.9,11.5,7.3,
CKM2003050607,2,B,27.9,43.1,7.9,27.6,6.9,
CKM2003050607,3,B,28,43.3,7.9,27.8,7,
CKM2003050607,3.5,B,28,43.4,7.9,27.9,6.5,
CKM2003050608,0.2,B,27.8,0.3,7.4,0.2,7.1,
CKM2003050609,0.2,B,26.5,0.3,7.5,0.1,6.5,
CKM2003050610,0.2,B,26.8,0.3,7.6,0.2,6.8,
CKM2003050610,0.7,B,26.8,0.3,7.3,0.2,6.2,
CKM2003050701,0.2,B,28.5,42.3,7.8,27.1,6.4,
CKM2003050701,1,B,28.5,42.4,7.8,27.2,6.4,
CKM2003050701,2,B,28.4,42.6,7.8,27.3,6.3,
CKM2003050701,2.9,B,28.3,42.7,7.8,27.4,6.2,
CKM2003050702,0.2,B,28.5,46.3,7.9,29.9,7.2,
CKM2003050702,0.8,B,28.5,46.2,7.9,29.9,7,
CKM2003050703,0.2,B,28.3,47.9,7.9,31.1,7.5,
CKM2003050703,1,B,28.3,47.9,7.9,31.1,7.5,
CKM2003050703,2,B,28.3,47.9,7.9,31.1,7.4,
CKM2003050703,3,B,28.2,48,7.9,31.2,7.3,
CKM2003050703,4,B,28.2,48,7.9,31.2,7.3,
CKM2003050703,4.9,B,28,48,7.9,31.2,7.3,
CKM2003050704,0.2,B,28.4,31.4,7.9,16,7.4,
CKM2003050704,1,B,28.3,48.3,7.9,31.4,7.4,
CKM2003050704,2,B,28.1,48.2,7.9,31.4,7.4,
CKM2003050704,3,B,28,48.2,7.9,31.4,7.4,
CKM2003050704,4,B,28,48.3,7.9,31.4,7.3,
CKM2003050704,4.8,B,28,48.4,7.9,31.5,7.2,
CKM2003050705,0.2,B,28,49.8,8,32.5,7.3,
CKM2003050705,1,B,27.7,49.8,8,32.5,7.4,
CKM2003050705,2,B,27.5,49.9,8,32.6,7.4,
CKM2003050705,3,B,27.4,50,8,32.7,7.4,
CKM2003050705,4,B,27.4,50.1,8,32.8,7.4,
CKM2003050705,5,B,27.3,50.2,8,32.8,7.3,
CKM2003050705,6,B,27.3,50.2,8,32.9,7.3,
CKM2003050706,0.2,B,29.9,45.7,8,29.5,7.6,
CKM2003050706,1,B,29.8,45.7,8,29.5,7.6,
CKM2003050706,2,B,29.6,45.8,8,29.5,7.8,
CKM2003050706,2.9,B,29,45.8,8,29.6,7.8,
CKM2003050801,0.2,B,25.1,1.2,8,0.6,8.1,
CKM2003050801,0.6,B,25.2,6.2,7.8,3.4,8,
CKM2003050802,0.2,B,24.4,10,7.9,5.6,8.8,
CKM2003050802,0.7,B,23.9,10.2,8,5.8,8.8,
CKM2003050803,0.2,B,25.4,2.6,7.9,1.3,8.1,
CKM2003050803,0.9,B,25.2,4,7.9,2,8.3,
CKM2003050804,0.2,B,25,0.3,7.8,0.1,7.1,
CKM2003050804,1,B,24.9,0.3,7.7,0.2,7,
CKM2003050804,2,B,24.7,0.3,7.6,0.2,6.8,
CKM2003050804,2.4,B,24,0.3,7.6,0.2,6,
CKM2003050805,0.2,B,26.1,0.3,7.7,0.1,6.7,
CKM2003050805,1,B,25.8,0.3,7.6,0.1,6.1,
CKM2003050805,2,B,25.3,0.3,7.5,0.1,5.9,
CKM2003050805,2.2,B,25.2,0.3,7.5,0.1,5.9,
CKM2003050806,0.2,B,25.6,0.3,7.7,0.1,7.1,
CKM2003050806,1,B,25.2,0.3,7.6,0.1,6.1,
CKM2003050806,2,B,25,0.3,7.4,0.1,5.8,
CKM2003050806,2.3,B,25,0.3,7.4,0.1,5.7,
CKM2003050807,0.2,B,26.6,0.3,7.8,0.1,7.1,
CKM2003050901,0.2,B,26.5,24,7.8,14.5,6.7,
CKM2003050901,0.8,B,26.5,24,7.9,14.5,7.4,
CKM2003050902,0.2,B,27.1,32,7.9,19.6,7,
CKM2003050902,0.8,B,27.1,32,7.9,19.6,7.1,
CKM2003050903,0.2,B,26.1,9.8,7.6,5.1,7.5,
CKM2003050904,0.2,B,27.1,41.9,8.1,26.8,8.3,
CKM2003050904,1,B,27.1,41.9,8.1,26.8,8.4,
CKM2003050904,2,B,27.1,41.9,8.1,26.8,8.4,
CKM2003050904,3,B,27.1,41.9,8.1,26.8,8.4,
CKM2003050905,0.2,B,27.2,40,8.1,25.4,8.1,
CKM2003050905,1,B,27.2,40,8.1,25.4,8.1,
CKM2003050905,2,B,27.2,39.9,8.1,25.4,8.2,
CKM2003050905,2.8,B,27.2,39.9,8.1,25.4,8.2,
CKM2003050906,0.2,B,27.3,41,8.1,26.2,8.8,
CKM2003050906,1,B,27.3,41,8.1,26.2,8.9,
CKM2003050906,2,B,27.4,41.8,8.1,26.7,8.8,
CKM2003050906,3,B,27.3,42.3,8.1,27.1,8.7,
CKM2003050906,4,B,27.3,43.4,8.1,27.9,8.3,
CKM2003060101,0.2,B,26.7,33.6,7.9,21,5.9,
CKM2003060101,1,B,26.6,34.1,8,21.4,5.8,
CKM2003060101,2,B,26.7,34.5,7.9,21.6,5.9,
CKM2003060101,2.2,B,26.6,34.6,7.9,21.7,3.9,
CKM2003060102,0.2,B,26.8,32.5,7.9,20.6,6.3,
CKM2003060102,0.7,B,26.6,33.9,7.9,21.2,5.8,
CKM2003060103,0.2,B,27.7,34.2,8,21.4,8,
CKM2003060104,0.2,B,29.3,38.9,8.1,24.6,7.8,
CKM2003060105,0.2,B,28.2,35.8,8.1,22.5,9.2,
CKM2003060105,0.6,B,28,36.2,8.1,22.8,9,
CKM2003060106,0.2,B,27.8,43.2,8.1,27.7,8.1,
CKM2003060106,0.7,B,27.8,43.2,8.1,27.7,8.1,
CKM2003060107,0.2,B,29.4,43.2,8.2,27.7,9.9,
CKM2003060107,0.8,B,29.4,43.3,8.3,27.8,10.6,
CKM2003060108,0.2,B,29.4,42.1,8.3,26.9,10.5,
CKM2003060108,0.9,B,29.4,42.1,8.3,26.9,10.5,
CKM2003060109,0.2,B,29.5,43.5,8.1,27.8,8.9,
CKM2003060109,0.9,B,29.5,43.7,8.1,28,8.6,
CKM2003060201,0.2,B,27.5,34.5,7.9,21.6,6.8,
CKM2003060202,0.2,B,28.2,43.5,8.1,28,7.4,
CKM2003060301,0.2,B,25.3,2.9,7.6,0.1,6.4,
CKM2003060301,1,B,25.2,2.9,7.6,0.1,6.5,
CKM2003060301,2,B,25.2,0.3,7.6,0.1,6.4,
CKM2003060301,3,B,25.2,0.3,7.5,0.1,6.3,
CKM2003060301,4,B,25.2,0.3,7.5,0.1,6.2,
CKM2003060301,5,B,25.2,0.3,7.5,0.1,6.2,
CKM2003060301,6,B,25.2,0.3,7.5,0.1,6.3,
CKM2003060301,6.2,B,25.2,0.3,7.5,0.1,6.3,
CKM2003060302,0.2,B,25.9,0.3,7.6,0.1,6.6,
CKM2003060302,0.6,B,25.9,0.3,7.6,0.1,6.5,
CKM2003060303,0.2,B,25.7,0.3,7.5,0.1,6.3,
CKM2003060304,0.2,B,25.5,0.3,7.5,0.1,6,
CKM2003060305,0.2,B,25.2,0.3,7.6,0.1,6.6,
CKM2003060305,0.8,B,25.1,0.3,7.5,0.1,6.4,
CKM2003060305,1.8,B,25.2,0.3,7.5,0.1,6.3,
CKM2003060305,2.8,B,25.2,0.3,7.5,0.1,6.3,
CKM2003060305,3.8,B,25.2,0.3,7.5,0.1,6.2,
CKM2003060305,4.8,B,25.2,0.3,7.5,0.1,6.2,
CKM2003060305,5.8,B,25.2,0.3,7.5,0.1,6.2,
CKM2003060305,6.8,B,25.2,0.3,7.5,0.1,6.2,
CKM2003060305,7.5,B,25.2,0.3,7.5,0.1,6.2,
CKM2003060306,0.2,B,26.3,0.3,7.6,0.1,6.8,
CKM2003060307,0.2,B,25.8,0.3,7.6,0.1,6.7,
CKM2003060307,1,B,25.5,0.3,7.5,0.1,6.3,
CKM2003060307,2,B,25.5,0.3,7.5,0.1,6.3,
CKM2003060307,2.7,B,25.5,0.3,7.5,0.1,6.2,
CKM2003060308,0.2,B,27.1,0.3,7.6,0.2,6.3,
CKM2003060308,1,B,26.3,0.3,7.5,0.2,6.1,
CKM2003060309,0.2,B,26.8,0.4,7.6,0.2,6.8,
CKM2003060309,0.8,B,26.8,0.4,7.6,0.2,6.7,
CKM2003060309,1.8,B,26.3,0.3,7.6,0.2,6.5,
CKM2003060309,2.3,B,25.8,0.3,7.5,0.2,6.3,
CKM2003060310,0.2,B,27.3,1.3,7.7,0.6,7.4,
CKM2003060310,0.8,B,27.3,1.3,7.7,0.6,7.4,
CKM2003060310,1.8,B,26.3,1.8,7.6,1,7,
CKM2003060310,2.6,B,26.1,2.6,7.6,1.9,7,
CKM2003060401,0.2,B,27.7,41.7,8,26.6,7.2,
CKM2003060401,1,B,27.6,41.8,8,26.7,7,
CKM2003060401,2,B,27.6,42.7,8,27.4,6.9,
CKM2003060401,3,B,27.6,42.8,8,27.5,6.9,
CKM2003060402,0.2,B,28.1,44.1,8.1,28.4,7.7,
CKM2003060402,0.6,B,28.1,44.2,8.1,28.4,7.7,
CKM2003060403,0.2,B,28.6,42.9,8.2,27.5,8.1,
CKM2003060404,0.2,B,28.4,44,8.2,28.3,8.4,
CKM2003060404,0.8,B,28.4,44,8.3,28.3,8.9,
CKM2003060405,0.2,B,28.6,40.8,8.2,26,8.6,
CKM2003060405,0.6,B,28.5,40.8,8.2,26,8.2,
CKM2003060406,0.2,B,29.3,33.7,8,21,8.5,
CKM2003060501,0.2,B,27.8,35.9,7.9,22.6,5.4,
CKM2003060502,0.2,B,27.9,36.9,8.1,23.3,5.7,
CKM2003060502,0.9,B,27.8,36.9,8.1,23.3,4.9,
CKM2003060503,0.2,B,28,34,7.7,21.2,4.8,
CKM2003060504,0.2,B,28.9,31.1,7.6,19.3,5.1,
CKM2003060505,0.2,B,29.7,35.4,8,22.2,6.2,
CKM2003060505,0.6,B,29.7,35.4,8,22.2,6.1,
CKM2003060506,0.2,B,29.7,32.6,8,20.2,6.1,
CKM2003060507,0.2,B,30.5,32.5,8.1,20.1,6.7,
CKM2003060508,0.2,B,30.2,33.9,7.9,21.1,6.2,
CKM2003060601,0.2,B,28.8,40.1,8,25.4,5.2,
CKM2003060601,0.6,B,28.8,40.2,8,25.6,5.2,
CKM2003060602,0.2,B,28.6,52.1,8,31.7,4.9,
CKM2003060602,0.8,B,28.5,51.9,8,31.6,5,
CKM2003060602,1.8,B,28.5,51.9,8,31.7,5,
CKM2003060602,2.8,B,28.5,51.9,8,31.7,4.9,
CKM2003060602,3.8,B,28.4,51.9,8,31.7,4.9,
CKM2003060602,4.8,B,28.4,51.8,8,31.7,4.9,
CKM2003060602,5.8,B,28.4,48.7,8,31.7,4.9,
CKM2003060602,6.3,B,28.4,51.8,8,31.7,4.9,
CKM2003060603,0.2,B,29,46.4,8.1,27.6,5.8,
CKM2003060603,0.8,B,28.9,47.7,8.2,28.6,5.6,
CKM2003060603,1.8,B,28.4,51.3,8.1,31.3,5,
CKM2003060603,2.8,B,28.4,51.5,8,31.5,4.7,
CKM2003060603,3.8,B,28.4,51.6,8,31.5,4.7,
CKM2003060603,4.3,B,28.4,51.6,8,31.5,4.5,
CKM2003060604,0.2,B,29.7,35.4,8.3,20.2,7,
CKM2003060604,0.8,B,28.4,50.3,8.1,30.6,5.7,
CKM2003060604,1.8,B,28.2,50.5,8,30.8,4.9,
CKM2003060604,2.8,B,28.2,50.6,8,31,4.7,
CKM2003060604,3.8,B,28.2,50.7,8,31,4.7,
CKM2003060604,4.8,B,28.2,50.7,8,31,4.7,
CKM2003060605,0.2,B,29.9,32.8,8.3,18.5,7.6,
CKM2003060605,0.8,B,28.9,49.1,8.1,29.5,6.1,
CKM2003060605,1.8,B,28.4,52.1,8,31.9,5.4,
CKM2003060605,2.8,B,28.4,52.1,8,31.9,5.3,
CKM2003060605,3.8,B,28.3,51.9,8,31.9,5.1,
CKM2003060605,4.8,B,28.3,52,8,32,5.1,
CKM2003060605,5.8,B,28.2,51.9,8,31.9,5,
CKM2003060606,0.2,B,30.1,44.4,8,25.7,6.2,
CKM2003060606,0.8,B,29.1,51.6,8,31,5.6,
CKM2003060606,1.8,B,28.8,52.4,8,31.9,5.6,
CKM2003060606,2.8,B,28.7,52.6,8,32,5.4,
CKM2003060606,3.8,B,28.6,52.6,8,32,5.4,
CKM2003060606,4.5,B,28.7,52.6,8,32,5.3,
CKM2003060607,0.2,B,30,43.4,8,25.1,6.2,
CKM2003060607,0.8,B,29.3,44,8.1,25.9,6.2,
CKM2003060607,1.8,B,28.5,51.9,8,31.7,5.6,
CKM2003060607,2.8,B,28.4,52,8,31.8,5.2,
CKM2003060607,3.8,B,28.4,52,8,31.8,5.1,
CKM2003060608,0.2,B,30.6,36.5,8.3,20.5,7.5,
CKM2003060608,0.8,B,30.3,36.9,8.3,20.8,7.4,
CKM2003060608,1.8,B,28.4,50.7,8,30.9,6.4,
CKM2003060608,2.8,B,28.4,51,8,31.2,5.3,
CKM2003060609,0.2,B,30.5,27.6,8.1,15.1,7.3,
CKM2003060609,0.8,B,29,38.3,8,22.3,6.6,
CKM2003060609,1.7,B,28.9,46,8,27.2,5.7,
CKM2003060610,0.2,B,31.6,25.6,8.4,13.6,8.8,
CKM2003060610,0.8,B,29.6,29.2,8.2,15.2,8.2,
CKM2003060610,1.8,B,28.1,40.4,7.7,24.2,6.2,
CKM2003060701,0.2,B,28.8,15.5,7.7,8.5,7.4,
CKM2003060701,0.8,B,28.7,19.7,7.7,10.9,7.2,
CKM2003060702,0.2,B,27.6,6.8,7.6,3.5,6.7,
CKM2003060702,1,B,27.6,7.5,7.5,4,6.6,
CKM2003060702,1.2,B,27.6,7.7,7.5,4,6.5,
CKM2003060703,0.2,B,28.8,15.5,7.6,8.3,6.7,
CKM2003060703,0.6,B,29,16.9,7.7,9.1,6.7,
CKM2003060704,0.2,B,30.6,2.8,7.8,1.3,7.5,
CKM2003060704,0.8,B,29.7,7.7,7.7,3.7,7.4,
CKM2003060705,0.2,B,31.1,10.7,7.6,5.3,6.6,
CKM2003060705,1,B,31.1,10.7,7.6,5.3,6.6,
CKM2003060705,1.3,B,31.1,10.7,7.6,5.3,6.5,
CKM2003060706,0.2,B,31.4,15.8,7.7,8.1,6.6,
CKM2003060706,0.7,B,31.4,16.2,7.7,8.3,6.7,
CKM2003060707,0.2,B,31.5,29.6,8,16,7.3,
CKM2003060707,0.6,B,30.2,31,7.8,17.3,7.1,
CKM2003060708,0.2,B,31.6,21.6,7.8,11.4,6.4,
CKM2003060708,0.7,B,31.5,22.5,7.9,11.8,7.1,
CKM2003060709,0.2,B,31.9,19.8,7.8,10.1,6.5,
CKM2003060710,0.2,B,32.3,31.1,8.2,16.6,9,
CKM2003060711,0.2,B,33.1,32.1,8.2,16.9,7.5,
CKM2003060712,0.2,B,31.6,35.2,8.2,19.3,8,
CKM2003060801,0.2,B,30,37,8.1,23.4,5,
CKM2003060801,0.9,B,30,37,8.1,23.3,5.2,
CKM2003060802,0.2,B,28.5,12.2,7.9,6.9,7,
CKM2003060803,0.2,B,28.7,12.9,7.7,7.2,5.7,
CKM2003060804,0.2,B,28.8,3.7,7.6,1.9,4.8,
CKM2003060804,1,B,28.8,3.7,7.5,1.9,4.8,
CKM2003060805,0.2,B,28.8,3,7.7,1.5,6.3,
CKM2003060805,1,B,28.8,3.9,7.7,1.8,6.2,
CKM2003060806,0.2,B,28.2,0.3,7.6,0.2,5.6,
CKM2003060806,0.8,B,28,0.3,7.5,0.2,5.5,
CKM2003060807,0.2,B,31.1,18.1,7.8,10.6,6,
CKM2003060807,0.7,B,31.3,21.9,7.8,13,6,
CKM2003060901,0.2,B,27.9,25.9,7.7,14.9,4.5,
CKM2003060901,0.8,B,27.5,30.7,7.7,18.1,3.5,
CKM2003060902,0.2,B,27.9,24.2,7.5,13.7,2.7,
CKM2003070101,0.2,B,26.7,0.2,7.5,0.1,4,
CKM2003070102,0.2,B,26.7,0.1,7,0.1,3.9,
CKM2003070103,0.2,B,26.7,0.1,7,0.1,4.1,
CKM2003070104,0.2,B,27.4,0.5,7.1,0.2,4,
CKM2003070105,0.2,B,27.5,0.3,7.1,0.1,4.4,
CKM2003070106,0.2,B,27,0.2,7.1,0.1,4.1,
CKM2003070107,0.2,B,27,0,7.1,0,3.3,
CKM2003070107,1,B,26.9,0.2,7,0.1,4.1,
CKM2003070107,2,B,26.8,0.2,7,0.1,4.1,
CKM2003070107,3,B,26.7,0.2,7,0.1,4.1,
CKM2003070107,4,B,26.8,0.2,7,0.1,4.1,
CKM2003070107,5,B,26.7,0.2,7,0.1,4.1,
CKM2003070107,6,B,26.4,0.2,7,0.1,4.1,
CKM2003070108,0.2,B,27.3,0.2,7.1,0.1,4.4,
CKM2003070108,1,B,27.3,0.2,7.1,0.1,4.4,
CKM2003070108,2,B,27.3,0.2,7,0.1,4.4,
CKM2003070108,3,B,27.3,0.2,7,0.1,4.3,
CKM2003070108,4,B,27.3,0.2,7,0.1,4.3,
CKM2003070108,4.8,B,27.2,0.2,7,0.1,4.3,
CKM2003070109,0.2,B,27.5,1.2,7.1,0.6,4.7,
CKM2003070109,1,B,27.5,1.3,7.1,0.7,4.7,
CKM2003070109,2,B,27.5,1.5,7.1,0.8,4.7,
CKM2003070109,2.7,B,27.4,1.6,7.1,0.8,4.7,
CKM2003070110,0.2,B,28,2.3,7.2,1.2,4.8,
CKM2003070110,1,B,27.9,2.5,7.1,1.3,4.9,
CKM2003070110,2,B,27.8,2.8,7.1,1.4,4.8,
CKM2003070111,0.2,B,28.2,1.4,7.2,0.7,4.8,
CKM2003070111,1,B,28.2,1.4,7.2,0.7,4.8,
CKM2003070111,2,B,28.2,1.4,7.2,0.7,4.8,
CKM2003070111,2.6,B,28.2,1.4,7.2,0.7,4.8,
CKM2003070112,0.2,B,28.6,3.6,7.1,1.9,4.7,
CKM2003070112,1,B,28.5,4.9,7.1,2.6,4.7,
CKM2003070112,1.3,B,28.4,5.2,7.1,2.8,4.6,
CKM2003070201,0.2,B,27.8,41.8,7.6,26.7,5.6,
CKM2003070201,0.8,B,27.7,41.8,7.6,26.7,5.5,
CKM2003070202,0.2,B,28,39.7,7.6,25.3,6.4,
CKM2003070202,0.7,B,28.1,39.7,7.6,25.3,5.9,
CKM2003070203,0.2,B,28.1,39.8,7.6,25.3,5.3,
CKM2003070203,0.4,B,28.1,39.8,7.6,25.3,5.3,
CKM2003070204,0.2,B,29.3,41,7.8,26.1,7.8,
CKM2003070204,0.8,B,29.3,41,7.8,26.1,7.9,
CKM2003070205,0.2,B,29.3,41.1,7.9,26.2,8.4,
CKM2003070205,0.8,B,29.3,41.1,7.9,26.2,8.4,
CKM2003070206,0.2,B,29.7,39.3,7.8,24.9,8.1,
CKM2003070206,0.7,B,29.6,39.3,7.8,24.9,8,
CKM2003070207,0.2,B,29.6,38.1,7.8,24.1,7.8,
CKM2003070207,0.7,B,29.4,38.2,7.8,24.2,7.7,
CKM2003070208,0.2,B,30.2,32,7.7,19.9,7.2,
CKM2003070208,1,B,30.1,32.3,7.7,20.1,7.2,
CKM2003070208,1.3,B,29.9,32.4,7.7,20.1,7.2,
CKM2003070301,0.2,B,27.8,33,7.5,20.6,6.3,
CKM2003070301,0.8,B,27.8,33,7.5,20.6,6.2,
CKM2003070302,0.2,B,28.2,25.7,7.4,15.6,6,
CKM2003070303,0.2,B,28.1,9.7,7.5,5.5,7,
CKM2003070303,0.6,B,28.1,9.7,7.5,5.4,7,
CKM2003070304,0.2,B,28.4,13.2,7.2,7.5,6.9,
CKM2003070304,0.8,B,28.5,13.2,7.2,7.6,6,
CKM2003070305,0.2,B,28.4,5.1,7.4,2.7,6.7,
CKM2003070305,0.7,B,28.4,5.3,7.4,2.9,6.9,
CKM2003070306,0.2,B,29.1,12.1,7.4,6.9,7.2,
CKM2003070306,0.8,B,29.1,12.5,7.3,7.1,7.2,
CKM2003070307,0.2,B,29.8,35.4,7.4,22.2,7.4,
CKM2003070307,0.8,B,29.7,35.3,7.4,22.1,6.5,
CKM2003070308,0.2,B,29.5,36.1,7.6,22.7,8,
CKM2003070308,0.8,B,29.1,36.7,7.5,23.1,7.2,
CKM2003070308,1.2,B,29,37.1,7.5,23.4,6.7,
CKM2003070309,0.2,B,30.6,37.7,7.6,23.1,9,
CKM2003070309,0.8,B,30.2,36.5,7.6,22.9,8.7,
CKM2003070309,1.8,B,29.9,36.6,7.5,23,8.3,
CKM2003070310,0.2,B,30.4,37.4,7.7,23.6,8.7,
CKM2003070310,1,B,30.4,37.4,7.7,23.6,8.7,
CKM2003070401,0.2,B,28,3.6,7.1,1.9,4,
CKM2003070401,0.8,B,27.9,3.7,7.1,2,4.2,
CKM2003070402,0.2,B,27.7,1.4,7.3,0.7,5.2,
CKM2003070402,0.7,B,27.6,1.4,7.4,0.7,5.2,
CKM2003070403,0.2,B,27.9,1.7,7.3,0.9,5.7,
CKM2003070403,0.8,B,27.9,1.8,7.4,0.9,5.6,
CKM2003070404,0.2,B,27.9,1.4,7.2,0.7,5.4,
CKM2003070404,0.8,B,27.9,1.4,7.2,0.7,5.2,
CKM2003070405,0.2,B,28.9,29.7,7.7,18.2,5.2,
CKM2003070405,0.5,B,28.7,32.9,7.6,19,5,
CKM2003070406,0.2,B,28.8,5.1,7.5,2.8,5.9,
CKM2003070406,0.8,B,28.5,6.1,7.5,3.3,5.6,
CKM2003070407,0.2,B,29.4,9.3,7.5,5.2,4.9,
CKM2003070407,0.6,B,29.4,9.1,7.5,5.1,4.8,
CKM2003070408,0.2,B,29.5,4.4,7.6,2.4,5.7,
CKM2003070501,0.2,B,28.5,36.4,8,22.9,4.1,
CKM2003070502,0.2,B,28.2,30.7,7.9,19,3.8,
CKM2003070503,0.2,B,28.2,30.5,7.8,18.9,3.9,
CKM2003070504,0.2,B,27.8,39.8,7.9,25,4.9,
CKM2003070505,0.2,B,27.7,39.4,7.9,25,3.5,
CKM2003070505,0.5,B,27.7,39.4,7.9,25,3.5,
CKM2003070506,0.2,B,27.9,37.9,8.1,23.4,4.7,
CKM2003070507,0.2,B,28.1,34.5,8,21.6,4.1,
CKM2003070507,0.5,B,28.1,34.5,8,21.6,4.1,
CKM2003070508,0.2,B,28.5,34.7,8,21.7,4.1,
CKM2003070508,1,B,28.5,34.7,8,21.7,4.6,
CKM2003070508,2,B,28.9,34.7,8,21.7,4.1,
