Reference,Depth,Beg_end,Temperature,Conductivity,pH,Salinity,DissolvedO2,Flag
CKM1996071504,2.8,B,31.2,45.5,8.4,29.5,6.1,
CKM1996071505,0.2,B,30.4,45.3,8.4,29.4,6.4,
CKM1996071505,2.1,B,30.3,45.5,8.4,29.4,6.2,
CKM1996071506,0.2,B,30.4,36.7,8.3,30.5,6.2,
CKM1996071506,4.2,B,30.1,46.7,8.3,30.5,5.9,
CKM1996071601,0.3,B,29.8,46,8.2,30,4.3,
CKM1996071602,0.5,B,29.9,41.1,8.2,26.4,4.7,
CKM1996071603,0.6,B,30.7,39.6,8.2,25.3,5.2,
CKM1996071604,0.6,B,30.7,35.2,8.5,22.1,6.5,
CKM1996071701,0.4,B,28.4,11.1,7.9,6.3,4.6,
CKM1996071702,0.4,B,29,30.5,8.1,19,5.6,
CKM1996071703,0.2,B,30.2,38.6,8.4,24.6,6.6,
CKM1996071703,2.7,B,29.8,42,8.3,27.1,5.1,
CKM1996071704,0.2,B,29.8,40.4,8.4,26.2,5.8,
CKM1996071704,3.7,B,29.8,43.4,8.3,28,5.5,
CKM1996071705,0.2,B,30,48.2,8.4,31.6,5.8,
CKM1996071705,4.2,B,29.9,48.5,8.4,31.6,6,
CKM1996071706,0.2,B,30.2,47,8.4,30.6,5.6,
CKM1996071706,2.8,B,30.2,47,8.4,31,5.7,
CKM1996071801,0.5,B,29.4,45.4,8.3,29.5,5.9,
CKM1996071802,0.5,B,29.9,44.3,8.4,28.6,6.7,
CKM1996071803,0.3,B,32.4,33.6,8.1,21.1,6.9,
CKM1996072401,0.3,B,30.3,22.9,7.5,13.9,5,
CKM1996072402,0.4,B,31,6.2,7.4,3.4,5.1,
CKM1996073001,0.5,B,29.9,44.3,8.1,28.7,5.7,
CKM1996073002,0.5,B,29,5.2,7.6,2.9,4.4,
CKM1996073003,1,B,29.6,9.8,7.7,5.9,5.6,
CKM1996080201,0.2,B,29.3,46.6,8.1,30.4,5.6,
CKM1996080201,2.5,B,29.3,46.6,8.2,30.4,5.3,
CKM1996080202,0.2,B,29.4,46.4,8.2,30.2,5.8,
CKM1996080202,3.9,B,29.4,46.9,8.2,30.4,5.6,
CKM1996080501,0.2,B,28.3,46.7,8.2,30.4,5.7,
CKM1996080501,2.8,B,28.3,46.4,8.2,30.2,5.6,
CKM1996080502,0.2,B,28.7,41.8,8.1,26.9,6,
CKM1996080502,3,B,28.7,42.2,8.1,27.1,5.7,
CKM1996080503,0.2,B,28.8,46.6,8.2,30.3,5.8,
