station,lat_d,lat_m,lat_s,lat,lon_d,lat_m,lat_s,lon,
452,29,12,72,29.220,83,3,65,-83.068,
453,29,12,90,29.225,83,4,39,-83.078,
460,29,16,47,29.280,83,10,4,-83.168,
481,29,13,47,29.230,83,4,79,-83.089,
481,29,13,47,29.230,83,4,77,-83.088,
482,29,13,84,29.240,83,4,54,-83.082,
483,29,14,14,29.237,83,4,57,-83.083,
484,29,14,28,29.241,83,4,16,-83.071,
520,29,9,23,29.156,83,0,45,-83.013,
521,29,9,75,29.171,83,0,2,-83.001,
522,29,9,88,29.174,83,0,29,-83.008,
690,29,8,40,29.144,83,0,75,-83.021,
700,29,7,38,29.127,83,0,1,-83.000,
702,29,7,49,29.130,83,2,17,-83.038,
704,29,7,21,29.123,83,1,32,-83.026,
710,29,8,23,29.140,83,2,58,-83.049,
711,29,7,98,29.144,83,1,30,-83.025,
712,29,6,38,29.111,83,3,10,-83.053,
713,29,7,51,29.131,83,4,91,-83.092,
714,29,8,14,29.137,83,3,40,-83.061,
715,29,6,89,29.125,83,4,67,-83.085,
716,29,5,97,29.110,83,3,92,-83.076,
