"","Date","Month","Start.time","End.time","Locality","Site","Bar","Station","Counter","TransLngth","Cnt_Live","Cnt_Dead","Replicate","Treatment","Location","Substation"
"51",2010-07-09,"July","17:14","17:32","CK","I","2","CKI2","JANESSY",20,107,"NA","1","control",NA,"CKI2"
"52",2010-07-09,"July","17:14","17:32","CK","I","2","CKI2","JANESSY",22.5,180,"NA","1","control",NA,"CKI2"
"53",2010-07-09,"July","17:14","17:32","CK","I","2","CKI2","JANESSY",25,63,"NA","1","control",NA,"CKI2"
"54",2010-07-09,"July","16:45","17:05","CK","I","3","CKI3","JANESSY",2.5,100,"NA","1","control",NA,"CKI3"
"55",2010-07-09,"July","16:45","17:05","CK","I","3","CKI3","JANESSY",5,204,"NA","1","control",NA,"CKI3"
"56",2010-07-09,"July","16:45","17:05","CK","I","3","CKI3","JANESSY",7.5,8,"NA","1","control",NA,"CKI3"
"57",2010-07-09,"July","16:45","17:05","CK","I","3","CKI3","JANESSY",10,7,"NA","1","control",NA,"CKI3"
"58",2010-07-09,"July","16:45","17:05","CK","I","3","CKI3","JANESSY",12.5,71,"NA","1","control",NA,"CKI3"
"59",2010-07-09,"July","16:45","17:05","CK","I","3","CKI3","JANESSY",15,149,"NA","1","control",NA,"CKI3"
"60",2010-07-09,"July","16:45","17:05","CK","I","3","CKI3","JANESSY",17.5,161,"NA","1","control",NA,"CKI3"
"61",2010-07-09,"July","16:45","17:05","CK","I","3","CKI3","JANESSY",20,90,"NA","1","control",NA,"CKI3"
"62",2010-07-09,"July","16:45","17:05","CK","I","3","CKI3","JANESSY",21.8,7,"NA","1","control",NA,"CKI3"
"63",2010-08-08,"August","17:30","18:30","CK","I","1","CKI1","ZACH",2.5,12,"NA","1","control",NA,"CKI1"
"64",2010-08-08,"August","17:30","18:30","CK","I","1","CKI1","ZACH",5,258,"NA","1","control",NA,"CKI1"
"65",2010-08-08,"August","17:30","18:30","CK","I","1","CKI1","ZACH",7.5,154,"NA","1","control",NA,"CKI1"
"66",2010-08-08,"August","17:30","18:30","CK","I","1","CKI1","ZACH",10,269,"NA","1","control",NA,"CKI1"
"67",2010-08-08,"August","17:30","18:30","CK","I","1","CKI1","ZACH",12.5,276,"NA","1","control",NA,"CKI1"
"68",2010-08-08,"August","17:30","18:30","CK","I","1","CKI1","ZACH",15,222,"NA","1","control",NA,"CKI1"
"69",2010-08-08,"August","17:30","18:30","CK","I","1","CKI1","ZACH",17.5,72,"NA","1","control",NA,"CKI1"
"70",2010-08-08,"August","17:30","18:30","CK","I","1","CKI1","ZACH",20,228,"NA","1","control",NA,"CKI1"
"71",2010-08-08,"August","17:30","18:30","CK","I","1","CKI1","ZACH",22.5,420,"NA","1","control",NA,"CKI1"
"72",2010-08-08,"August","17:30","18:30","CK","I","1","CKI1","ZACH",25,116,"NA","1","control",NA,"CKI1"
"73",2010-08-08,"August","16:30","17:30","CK","I","2","CKI2","ZACH",2.5,0,"NA","1","control",NA,"CKI2"
"74",2010-08-08,"August","16:30","17:30","CK","I","2","CKI2","ZACH",5,1,"NA","1","control",NA,"CKI2"
"75",2010-08-08,"August","16:30","17:30","CK","I","2","CKI2","ZACH",7.5,4,"NA","1","control",NA,"CKI2"
"76",2010-08-08,"August","16:30","17:30","CK","I","2","CKI2","ZACH",10,3,"NA","1","control",NA,"CKI2"
