Epoch,Oriiginal_Name,New_Name,Original_Station,New_Station,Easting,Northing,Treatment,Note
3,Big Trout Creek Inshore,Same,BTI2,Same,297612.7519,3239507.404,control,Coordinates:  BT21
3,Big Trout Creek Inshore,Same,BTI3,Same,297677.8958,3239398.703,control,Coordinates:  BT41
3,Big Trout Creek Inshore,Same,BTI4,Same,297601.9606,3239173.879,control,Coordinates:  BT32
3,Little Trout Creek Inshore,Same,LTI1,Same,298243.0832,3238323.22,control,Coordinates:  first segment of LTI1 transect (at start)
3,Little Trout Creek Inshore,Same,LTI2,Same,298243.0832,3238323.22,control,Coordinates:  LTI21
3,Little Trout Creek Inshore,Same,LTI3,Same,298339.7633,3238402.442,control,Coordinates:  LTI31
3,Little Trout Creek Inshore,Same,LTI4,Same,298294.241,3238521.878,control,Coordinates:  LTI41
3,No-name Creek Inshore,Same,NNI1,Same,298530.7179,3237216.095,control,Coordinates:  NNI11
3,No-name Creek Inshore,Same,NNI2,Same,298480.1915,3237712.571,control,Coordinates:  NNI21
3,Northern Lone Cabbage,Lone Cabbage Offshore (plus reef element),NLCO1,LCO2,294376.6264,3239243.883,control,Cooridinates: Reef Center
3,Northern Lone Cabbage,Lone Cabbage Offshore (plus reef element),NLCO2,LCO4,294488.0229,3239060.042,control,Cooridinates: Reef Center
3,Northern Lone Cabbage,Lone Cabbage Offshore (plus reef element),NLCO3,LCO0,294488.0229,3239060.042,control,Cooridinates: Reef Center
3,Geiger Creek Inshore,Lone Cabbage Nearshore,GCI1,LCN4,298820.9868,3236639.994,control,Cooridinates: Reef Center
3,Geiger Creek Inshore,Lone Cabbage Nearshore,GCI2,LCN5,298807.6653,3236766.619,control,Cooridinates: Reef Center
3,Lone Cabbage Inshore,Same,LCI1,LCI5,298317.1677,3235753.085,control,Cooridinates: Reef Center
3,Lone Cabbage Inshore,Same,LCI2,LCI6,298713.9723,3235921.241,control,Cooridinates: Reef Center
3,Lone Cabbage Inshore,Same,LCI3,LCI7,298843.6606,3235996.559,control,Cooridinates: Reef Center
3,Lone Cabbage Inshore,Same,LCI4,LCI3,298759.4535,3235633.29,control,Cooridinates: Reef Center
