date,site,recorder,transect number,distance along transect,distance from transect (m),live,,,,,,dead,,,,Live count over 100,,,,,dead count over 100,,
5/31/2015,LC08,Nick Fisch,1,5,3.4,32,45,19,,,,,25,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,1,0,0.7,27,28,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,1,2,3.8,na,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,1,18,1.6,21,28,30,27,27,28,,19,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,1,18,1.6,28,24,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,1,20,1.8,42,24,16,32,30,25,,20,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,1,20,1.8,24,25,26,20,24,23,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,1,20,1.8,24,19,27,27,32,23,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,1,9,2.4,32,26,22,28,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,1,11,3.5,32,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,1,13,0.6,28,28,27,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,1,18,2.1,27,30,39,42,,,,,,,,,,,,4,,
5/31/2015,LC08,Nick Fisch,1,1,2.9,34,26,22,22,,,,,,,,,,,,3,,
5/31/2015,LC08,Nick Fisch,2,8,3.9,26,32,34,41,35,31,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,16,0.3,26,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,3,2,28,24,32,28,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,8,3.9,18,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,9,0.9,31,34,22,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,11,1.7,na,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,19,1.7,30,34,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,8,0.6,23,24,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,5,2.2,26,34,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,8,3.2,29,37,30,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,5,3.5,na,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,11,0,24,23,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,0,3,29,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,20,2.3,na,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,13,3.3,29,20,,,,,,22,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,5,2.8,24,40,15,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,4,0.8,34,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,2,1.4,na,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,4,1,na,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,5,3,na,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,2,7,3.6,30,,,,,,,36,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,17,2.1,34,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,13,0.3,31,34,48,22,23,33,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,5,0.9,na,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,13,0.3,28,36,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,17,0.3,na,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,0,3.6,21,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,7,1.5,38,21,27,33,28,18,,26,,,,16,,,,,,
5/31/2015,LC08,Nick Fisch,3,7,1.5,27,31,32,26,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,1,3.2,31,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,11,2.2,26,21,24,15,23,25,,23,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,11,2.2,27,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,14,1.6,na,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,2,3.1,31,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,4,2.9,na,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,15,0.1,28,30,34,36,32,24,,20,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,15,0.1,20,31,27,21,25,18,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,15,0.1,19,31,32,25,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,1,3.1,24,,,,,,,,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,1,0.9,29,24,27,28,,,,20,,,,,,,,,,
5/31/2015,LC08,Nick Fisch,3,17,1.5,34,15,18,15,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,1,4,2.25,38,36,49,28,22,21,,23,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,1,4,2.25,40,38,54,44,47,43,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,1,4,2.25,27,48,33,33,39,31,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,1,4,2.25,31,43,41,44,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,1,12,5,26,22,50,44,38,42,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,1,12,5,28,37,24,24,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,1,15,1,22,,,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,1,7,2.5,34,26,27,42,31,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,1,4,3.25,45,,,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,1,19,1,55,60,28,47,51,44,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,1,19,1,56,30,52,24,28,30,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,1,19,1,20,31,19,47,46,50,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,1,19,1,49,25,31,30,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,12,1.75,37,38,,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,19,1.25,39,48,45,28,31,26,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,13,4.75,37,27,,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,17,1.5,52,27,20,32,30,47,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,17,1.5,32,36,41,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,17,1,31,19,33,29,24,36,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,17,1,24,,,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,11,4,60,30,49,47,28,46,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,11,4,55,37,25,35,38,30,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,11,4,29,,,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,19,1,45,22,35,22,32,31,,35,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,19,1,24,19,,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,9,0,44,33,49,31,28,,,15,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,1,4.25,33,67,19,25,32,19,,34,,,,15,,,,,,
6/1/2015,LC06,Nick Fisch,2,1,4.25,44,55,52,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,7,1.75,na,,,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,6,3.25,30,26,25,25,56,64,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,6,3.5,38,34,60,19,31,31,,,,,,,,,,7,,
6/1/2015,LC06,Nick Fisch,2,6,3.5,32,42,36,42,38,41,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,6,3.5,32,31,,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,9,4.5,21,25,54,42,30,35,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,2,9,4.5,32,37,,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,2,2.5,54,125,75,107,86,78,,95,,,,34,,,,,,
6/1/2015,LC06,Nick Fisch,3,2,2.5,90,48,,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,20,2.75,37,,,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,5,0.5,19,29,20,27,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,7,1.5,33,,,,,,,28,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,7,2.5,45,48,21,16,45,40,,34,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,7,2.5,19,18,29,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,19,0.75,40,,,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,14,0.25,42,45,43,48,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,3,0.5,19,24,,,,,,15,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,16,3.75,50,2,45,28,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,20,4.5,27,,,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,16,4.5,48,32,42,34,51,18,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,16,4.5,39,26,40,29,35,42,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,4,3,25,41,25,17,19,38,,20,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,5,1.5,24,18,27,30,32,34,,20,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,5,1.5,26,37,46,40,27,26,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,5,1.5,38,23,23,,,,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,19,3.5,28,25,37,49,31,38,,,,,,,,,,,,
6/1/2015,LC06,Nick Fisch,3,19,3.5,17,28,28,,,,,,,,,,,,,,,
