FID,Join_Count,TARGET_FID,Num,N,E,Elev,Transect,Element_id
178,1,181,211,1792658.984,301908.538,-0.827,1,9b
179,1,182,212,1792663.146,301911.566,-0.582,1,9b
180,1,183,213,1792665.202,301913.707,-0.588,1,9b
181,1,184,214,1792666.206,301916.722,-1.066,1,9b
182,1,185,217,1793487.119,301251.712,-1.264,1,8a
183,1,186,218,1793485.647,301249.491,-1.128,1,8a
184,1,187,219,1793485.311,301247.487,-1.459,1,8a
185,1,188,220,1793484.383,301246.124,-1.129,1,8a
186,1,189,221,1793485.25,301244.227,-0.73,1,8a
187,1,190,222,1793485.512,301243.032,-1.075,1,8a
188,1,191,223,1793485.694,301240.7,-1.173,1,8a
189,1,192,224,1793483.165,301239.285,-0.815,1,8a
190,1,193,225,1793484.547,301235.957,-1.043,1,8a
191,1,194,226,1793485.942,301233.995,-0.92,1,8a
192,1,195,227,1793484.656,301232.784,-1.252,1,8a
193,1,196,228,1793487.053,301232.303,-1.091,1,8a
194,1,197,229,1793484.661,301230.27,-1.15,1,8a
195,1,198,230,1793483.718,301229.231,-1.118,1,8a
196,1,199,233,1793520.122,301053.706,-1.541,1,7
197,1,200,234,1793518.737,301052.051,-1.647,1,7
198,1,201,235,1793518.487,301050.901,-1.31,1,7
199,1,202,236,1793515.374,301049.496,-0.716,1,7
200,1,203,237,1793515.036,301046.98,-1.007,1,7
201,1,204,238,1793514.046,301046.716,-0.482,1,7
202,1,205,239,1793513.875,301045.295,-0.683,1,7
203,1,206,240,1793511.053,301043.697,-1.285,1,7
204,1,207,241,1793511.962,301039.655,-1.163,1,7
205,1,208,242,1793511.96,301037.974,-1.411,1,7
206,1,209,243,1793510.356,301036.122,-0.721,1,7
207,1,210,244,1793507.451,301033.534,-1.55,1,7
208,1,211,247,1793755.528,300833.477,-1.514,1,5
209,1,212,248,1793750.156,300830.935,-1.267,1,5
210,1,213,249,1793747.853,300832.189,-1.324,1,5
211,1,214,250,1793745.011,300831.95,-1.099,1,5
212,1,215,251,1793743.329,300832.613,-1.702,1,5
213,1,216,252,1793741.978,300832.301,-1.194,1,5
214,1,217,253,1793740.233,300833.608,-1.727,1,5
215,1,218,254,1793737.105,300835.29,-1.375,1,5
216,1,219,255,1793734.121,300830.409,0,GS DIRT,5
