Obs,N,E,Elev,Type,Transect
367,1790208.837,304041.5531,-1.71316,GS ROCK,5
368,1790207.728,304041.3533,-1.95009,GS ROCK,5
369,1790206.34,304041.0949,-2.2717,GS ROCK,5
370,1790207.151,304039.3829,-1.93902,GS ROCK,5
371,1790207.02,304037.5146,-1.73803,GS ROCK,5
372,1790206.725,304037.2179,-1.76376,GS ROCK,5
373,1790205.815,304036.3846,-1.84649,GS ROCK,5
374,1790204.869,304036.1578,-1.99478,GS ROCK,5
375,1790203.991,304035.4283,-2.52636,GS,5
376,1790240.702,304003.2309,-2.61,GS,6
377,1790241.496,304004.2334,-1.83166,GS ROCK,6
378,1790241.837,304005.6714,-1.56467,GS ROCK,6
379,1790242.238,304006.3265,-1.94007,GS ROCK,6
380,1790243.503,304007.7918,-1.68467,GS ROCK,6
381,1790243.978,304009.1491,-1.78975,GS ROCK,6
382,1790245.084,304010.9435,-1.81976,GS ROCK,6
383,1790244.821,304014.7118,-2.23456,GS ROCK,6
384,1790245.49,304015.7216,-2.06927,GS ROCK,6
385,1790247.096,304017.1286,-2.12429,GS ROCK,6
386,1790249.731,304017.6692,-2.13982,GS ROCK,6
387,1790249.464,304020.1143,-1.72077,GS ROCK,6
388,1790250.917,304021.0081,-1.9903,GS ROCK,6
389,1790251.285,304022.0761,-1.72153,GS ROCK,6
390,1790251.619,304023.4891,-2.11576,GS ROCK,6
391,1790252.492,304023.7522,-2.2603,GS ROCK,6
392,1790252.735,304024.6315,-1.81006,GS ROCK,6
393,1790252.106,304025.9844,-1.63101,GS ROCK,6
394,1790253.022,304026.4485,-1.66571,GS ROCK,6
395,1790254.245,304026.4707,-1.50829,GS ROCK,6
396,1790254.61,304028.2158,-1.99615,GS ROCK,6
397,1790261.47,304026.5415,-2.99973,GS,6
398,1790301.597,303999.0085,-3.36319,GS,7
399,1790300.549,303999.2736,-1.97995,GS ROCK,7
400,1790300.528,303997.6924,-2.44829,GS ROCK,7
401,1790301.025,303996.5718,-2.35855,GS ROCK,7
402,1790300.281,303995.9415,-2.3238,GS ROCK,7
403,1790300.191,303994.239,-1.69883,GS ROCK,7
404,1790298.661,303993.0849,-1.82152,GS ROCK,7
405,1790298.71,303992.5828,-2.0506,GS ROCK,7
406,1790297.723,303991.8744,-2.27461,GS ROCK,7
407,1790297.166,303990.4524,-1.84202,GS ROCK,7
408,1790294.893,303989.5098,-2.2273,GS ROCK,7
409,1790293.232,303988.5867,-1.80991,GS ROCK,7
410,1790292.83,303987.2041,-1.69362,GS ROCK,7
411,1790292.22,303984.3976,-2.10219,GS ROCK,7
412,1790290.296,303983.421,-1.65285,GS ROCK,7
413,1790289.672,303981.2939,-1.98332,GS ROCK,7
414,1790286.827,303978.5231,-2.2061,GS ROCK,7
415,1790285.061,303977.3618,-2.13032,GS ROCK,7
416,1790283.436,303973.9749,-3.07643,GS,7
