Date,Trip,Month,Start time,End time,Locality,Site,Bar,Station,StartGPS_E,StartGPS_N,MidGPS_E,MidGPS_N,EndGPS_E,EndGPS_N,Orientation,Counter,TransLngth,Cnt_Obsv1,Cnt_Obsv2,Cnt
7/9/2010,2,July,17:14,17:32,CK,I,2,CKI2,300736,3227813,300731,3227796,300732,3227782,177,JANESSY,5,202, ,202
7/9/2010,2,July,17:14,17:32,CK,I,2,CKI2,300736,3227813,300731,3227796,300732,3227782,177,JANESSY,7.5,98, ,98
7/9/2010,2,July,17:14,17:32,CK,I,2,CKI2,300736,3227813,300731,3227796,300732,3227782,177,JANESSY,10,111, ,111
7/9/2010,2,July,17:14,17:32,CK,I,2,CKI2,300736,3227813,300731,3227796,300732,3227782,177,JANESSY,12.5,142, ,142
7/9/2010,2,July,17:14,17:32,CK,I,2,CKI2,300736,3227813,300731,3227796,300732,3227782,177,JANESSY,15,153, ,153
7/9/2010,2,July,17:14,17:32,CK,I,2,CKI2,300736,3227813,300731,3227796,300732,3227782,177,JANESSY,17.5,65, ,65
7/9/2010,2,July,17:14,17:32,CK,I,2,CKI2,300736,3227813,300731,3227796,300732,3227782,177,JANESSY,20,107, ,107
7/9/2010,2,July,17:14,17:32,CK,I,2,CKI2,300736,3227813,300731,3227796,300732,3227782,177,JANESSY,22.5,180, ,180
7/9/2010,2,July,17:14,17:32,CK,I,2,CKI2,300736,3227813,300731,3227796,300732,3227782,177,JANESSY,25,63, ,63
7/9/2010,2,July,16:45,17:05,CK,I,3,CKI3,300734,3228267,300746,3228270,300755,3228276,62,JANESSY,2.5,100, ,100
7/9/2010,2,July,16:45,17:05,CK,I,3,CKI3,300734,3228267,300746,3228270,300755,3228276,62,JANESSY,5,204, ,204
7/9/2010,2,July,16:45,17:05,CK,I,3,CKI3,300734,3228267,300746,3228270,300755,3228276,62,JANESSY,7.5,8, ,8
7/9/2010,2,July,16:45,17:05,CK,I,3,CKI3,300734,3228267,300746,3228270,300755,3228276,62,JANESSY,10,7, ,7
7/9/2010,2,July,16:45,17:05,CK,I,3,CKI3,300734,3228267,300746,3228270,300755,3228276,62,JANESSY,12.5,71, ,71
7/9/2010,2,July,16:45,17:05,CK,I,3,CKI3,300734,3228267,300746,3228270,300755,3228276,62,JANESSY,15,149, ,149
